#chile
australia,18-30,si
dinamarca,18-30,si
alemania,18-30,si
francia,18-30,no
república checa,18-30,no
irlanda,18-30,no
suecia,18-30,si
corea del sur,18-30,no
japón,18-30,no
"alianza del pacífico (colombia, méxico, perú)",18-30,si
austria,18-30,no
polonia,18-30,no
nueva zelanda,18-35,si
hungría,18-35,si
canadá,18-35 ,si
portugal,18-30,no se sabe

#argentina  
alemania,18-30,si
australia,18-30,si
dinamarca,18-30,no
holanda,18-30,no
japón,18-30,no
noruega,18-30,no
portugal,18-30,no
suecia,18-30,si
españa,18-35,no
francia,18-35,no
irlanda,18-35,no
nueva zelanda,18-35,si

#España
australia,18-30,si
nueva zelanda,18-30,si
japón,18-30,no
canadá,18-35,si

#Colombia
france,18-30,no
"alianza del pacífico (chile, méxico, perú)",18-30,si

#Mexico
canada,18-29,si
"alianza del pacífico (colombia, chile, perú)",18-30,si
nueva zelanda,18-30,si

#Peru
australia,18-30,si
nueva zelanda,18-30,si

#Uruguay
alemania,18-30,si
australia,18-30,si
francia,18-30,si
suecia,18-30,si
nueva zelanda,18-35,si
